"rule_id","scope","title","summary","created","modified","active_time","label_names","source_url","json_path","markdown_path"
"1090224406216708096","personal_individual","京东开放平台个人/个体交易管理规则","京东开放平台个人/个体交易管理规则","2024-03-28","2026-05-07","2026-05-06","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1090224406216708096","data\jd_rules\json\1090224406216708096_京东开放平台个人_个体交易管理规则.json","data\jd_rules\markdown\1090224406216708096_京东开放平台个人_个体交易管理规则.md"
"1090233093538844672","personal_individual","京东开放平台个人/个体纠纷处理规则","京东开放平台个人/个体纠纷处理规则","2024-03-27","2025-08-19","2025-07-03","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1090233093538844672","data\jd_rules\json\1090233093538844672_京东开放平台个人_个体纠纷处理规则.json","data\jd_rules\markdown\1090233093538844672_京东开放平台个人_个体纠纷处理规则.md"
"1090233883129155584","personal_individual","京东开放平台个人/个体退店管理规则","京东开放平台个人/个体退店管理规则","2024-03-27","2025-08-19","2024-06-30","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1090233883129155584","data\jd_rules\json\1090233883129155584_京东开放平台个人_个体退店管理规则.json","data\jd_rules\markdown\1090233883129155584_京东开放平台个人_个体退店管理规则.md"
"1090450620420329472","personal_individual","京东开放平台个人/个体商品管理规则","京东开放平台个人/个体商品管理规则","2024-03-28","2026-06-12","2025-08-24","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1090450620420329472","data\jd_rules\json\1090450620420329472_京东开放平台个人_个体商品管理规则.json","data\jd_rules\markdown\1090450620420329472_京东开放平台个人_个体商品管理规则.md"
"1145534961424666624","personal_individual","京东开放平台个体店铺主体变更规则","京东开放平台个体店铺主体变更规则","2024-08-27","2026-06-10","2026-02-02","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1145534961424666624","data\jd_rules\json\1145534961424666624_京东开放平台个体店铺主体变更规则.json","data\jd_rules\markdown\1145534961424666624_京东开放平台个体店铺主体变更规则.md"
"1147727438441222144","personal_individual","京东开放平台个人/个体店铺星级规则","京东开放平台个人/个体店铺星级规则","2024-09-02","2026-03-20","2026-03-19","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1147727438441222144","data\jd_rules\json\1147727438441222144_京东开放平台个人_个体店铺星级规则.json","data\jd_rules\markdown\1147727438441222144_京东开放平台个人_个体店铺星级规则.md"
"1207258240992284672","personal_individual","京东开放平台个人/个体盲盒商品管理规则","京东开放平台个人/个体盲盒商品管理规则","2025-02-13","2025-08-19","2025-02-19","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1207258240992284672","data\jd_rules\json\1207258240992284672_京东开放平台个人_个体盲盒商品管理规则.json","data\jd_rules\markdown\1207258240992284672_京东开放平台个人_个体盲盒商品管理规则.md"
"1208689859091369984","personal_individual","关于修订《京东开放平台个人/个体纠纷处理规则》的公示通知","关于修订《京东开放平台个人/个体纠纷处理规则》的公示通知","2025-02-17","2025-02-17","2025-02-23","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1208689859091369984","data\jd_rules\json\1208689859091369984_关于修订《京东开放平台个人_个体纠纷处理规则》的公示通知.json","data\jd_rules\markdown\1208689859091369984_关于修订《京东开放平台个人_个体纠纷处理规则》的公示通知.md"
"1208722953223671808","personal_individual","关于修订《京东开放平台个人/个体合规管理规则》的公示通知","关于修订《京东开放平台个人/个体合规管理规则》的公示通知","2025-02-17","2025-02-17","2025-02-23","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1208722953223671808","data\jd_rules\json\1208722953223671808_关于修订《京东开放平台个人_个体合规管理规则》的公示通知.json","data\jd_rules\markdown\1208722953223671808_关于修订《京东开放平台个人_个体合规管理规则》的公示通知.md"
"1211584136112902144","personal_individual","关于修订《京东开放平台个人/个体店铺综合体验分规则》的公示通知","关于修订《京东开放平台个人/个体店铺综合体验分规则》的公示通知","2025-02-25","2025-02-25","2025-03-31","","https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1211584136112902144","data\jd_rules\json\1211584136112902144_关于修订《京东开放平台个人_个体店铺综合体验分规则》的公示通知.json","data\jd_rules\markdown\1211584136112902144_关于修订《京东开放平台个人_个体店铺综合体验分规则》的公示通知.md"
